"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.76.105.1","10.244.105.1","MAVLink 2.0","118","ACTUATOR_CONTROL_TARGET"
"2","0.000021526","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"3","0.000024940","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"4","0.000027979","10.76.105.1","10.244.105.1","MAVLink 2.0","140","HIGHRES_IMU"
"5","0.000030735","10.76.105.1","10.244.105.1","MAVLink 2.0","99","SERVO_OUTPUT_RAW"
"6","0.000054195","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=1 Ack=244 Win=9617 Len=0 TSval=2474322998 TSecr=519146535"
"7","0.008952330","10.76.105.1","10.244.105.1","MAVLink 2.0","90","SERVO_OUTPUT_RAW"
"8","0.008977864","10.76.105.1","10.244.105.1","MAVLink 2.0","95","VFR_HUD"
"9","0.009578550","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=1 Ack=297 Win=9617 Len=0 TSval=2474323007 TSecr=519146547"
"10","0.018001611","10.76.105.1","10.244.105.1","MAVLink 2.0","79","MISSION_CURRENT"
"11","0.018019040","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"12","0.018048571","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=1 Ack=350 Win=9617 Len=0 TSval=2474323016 TSecr=519146557"
"13","0.027101963","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"14","0.027121761","10.76.105.1","10.244.105.1","MAVLink 2.0","139","HIGHRES_IMU"
"15","0.027125312","10.76.105.1","10.244.105.1","MAVLink 2.0","102","SCALED_IMU"
"16","0.027153776","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=1 Ack=503 Win=9617 Len=0 TSval=2474323025 TSecr=519146560"
"17","0.036019134","10.76.105.1","10.244.105.1","MAVLink 2.0","310","ODOMETRY"
"18","0.036035539","10.76.105.1","10.244.105.1","MAVLink 2.0","118","ACTUATOR_CONTROL_TARGET"
"19","0.036039137","10.76.105.1","10.244.105.1","MAVLink 2.0","92","TIMESYNC"
"20","0.036042184","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ALTITUDE"
"21","0.036045559","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_TARGET"
"22","0.036048548","10.76.105.1","10.244.105.1","MAVLink 2.0","119","ESTIMATOR_STATUS"
"23","0.036050727","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=1 Ack=825 Win=9615 Len=0 TSval=2474323034 TSecr=519146570"
"24","0.036052637","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"25","0.036090495","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=1 Ack=1006 Win=9617 Len=0 TSval=2474323034 TSecr=519146576"
"26","0.045113652","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"27","0.045131199","10.76.105.1","10.244.105.1","MAVLink 2.0","140","HIGHRES_IMU"
"28","0.045134738","10.76.105.1","10.244.105.1","MAVLink 2.0","99","SERVO_OUTPUT_RAW"
"29","0.045196665","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=1 Ack=1157 Win=9617 Len=0 TSval=2474323043 TSecr=519146581"
"30","0.054068647","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"31","0.054086791","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"32","0.054091141","10.76.105.1","10.244.105.1","MAVLink 2.0","140","HIGHRES_IMU"
"33","0.054604797","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=1 Ack=1315 Win=9617 Len=0 TSval=2474323052 TSecr=519146597"
"34","0.062963518","10.76.105.1","10.244.105.1","MAVLink 2.0","90","SERVO_OUTPUT_RAW"
"35","0.062984804","10.76.105.1","10.244.105.1","MAVLink 2.0","95","VFR_HUD"
"36","0.062990877","10.76.105.1","10.244.105.1","MAVLink 2.0","310","ODOMETRY"
"37","0.063028642","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=1 Ack=1612 Win=9617 Len=0 TSval=2474323061 TSecr=519146598"
"38","0.072074731","10.76.105.1","10.244.105.1","MAVLink 2.0","118","ACTUATOR_CONTROL_TARGET"
"39","0.072092821","10.76.105.1","10.244.105.1","MAVLink 2.0","102","SCALED_IMU"
"40","0.072096350","10.76.105.1","10.244.105.1","MAVLink 2.0","120","RC_CHANNELS"
"41","0.072138819","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=1 Ack=1754 Win=9617 Len=0 TSval=2474323070 TSecr=519146603"
"42","0.081026478","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"43","0.081062418","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"44","0.081101063","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=1 Ack=1838 Win=9617 Len=0 TSval=2474323079 TSecr=519146619"
"45","0.090135251","10.76.105.1","10.244.105.1","MAVLink 2.0","139","HIGHRES_IMU"
"46","0.090153488","10.76.105.1","10.244.105.1","MAVLink 2.0","123","GPS_RAW_INT"
